iter	Passed	Remaining
294	564	1349
295	565	1345
296	566	1341
297	568	1338
298	569	1335
299	570	1330
300	571	1327
301	572	1322
302	573	1318
303	575	1317
304	577	1315
305	579	1313
306	580	1310
307	582	1308
308	583	1304
309	584	1301
310	585	1297
311	586	1293
312	587	1290
313	589	1287
314	591	1286
315	593	1284
316	594	1280
317	595	1276
318	596	1272
319	597	1269
320	597	1264
321	598	1261
322	600	1257
323	601	1254
324	602	1250
325	603	1247
326	604	1245
327	607	1243
328	608	1240
329	609	1237
330	610	1233
331	611	1230
332	612	1226
333	613	1223
334	614	1219
335	615	1216
336	616	1213
337	617	1209
338	618	1206
339	620	1204
340	622	1202
341	623	1199
342	624	1195
343	625	1192
344	626	1188
345	627	1185
346	628	1182
347	629	1179
348	630	1175
349	631	1173
350	632	1170
351	634	1167
352	635	1165
353	637	1162
354	638	1160
355	639	1157
356	640	1153
357	641	1150
358	643	1148
359	644	1145
360	645	1142
361	646	1138
362	647	1136
363	648	1133
364	650	1131
365	652	1129
366	653	1126
367	654	1123
368	655	1120
369	656	1117
370	657	1114
371	658	1111
372	659	1108
373	660	1105
374	661	1102
375	663	1100
376	664	1098
377	666	1095
378	667	1093
379	668	1090
380	669	1087
381	670	1084
382	671	1081
383	672	1078
384	673	1076
385	674	1073
386	675	1070
387	676	1067
388	677	1064
389	679	1062
390	681	1060
391	682	1058
392	683	1056
393	685	1053
394	686	1051
395	687	1048
396	688	1045
397	689	1043
398	690	1040
399	691	1037
400	693	1036
401	695	1034
402	697	1032
403	698	1030
404	699	1028
405	701	1025
406	702	1023
407	703	1020
408	704	1017
409	705	1014
410	706	1011
411	707	1009
412	708	1007
413	710	1006
414	712	1004
415	713	1001
416	714	999
417	716	997
418	717	994
419	718	992
420	719	990
421	721	987
422	723	986
423	724	984
424	726	982
425	727	980
426	729	978
427	730	976
428	731	973
429	732	971
430	733	968
431	735	966
432	736	964
433	737	962
434	739	959
435	740	958
436	742	956
437	743	954
438	744	951
439	745	949
440	746	946
441	748	944
442	749	941
443	750	939
444	751	937
445	753	935
446	754	933
447	756	931
448	757	929
449	758	927
450	760	925
451	761	922
452	762	920
453	763	917
454	763	915
455	765	913
456	767	911
457	768	909
458	770	908
459	771	905
460	772	903
461	773	901
